index,product,cip,expected profit
1001,None,4.438926174496646,0.0
1002,A,4.438926174496646,2.6633557046979877
1003,None,4.438926174496646,0.0
1004,None,4.438926174496646,0.0
1005,None,4.193180983606661,0.0
1006,None,4.438926174496646,0.0
1007,A,4.189682216925988,2.5138093301555924
1008,None,4.438926174496646,0.0
1009,A,4.438926174496646,2.6633557046979877
1010,None,4.438926174496646,0.0
1011,None,4.438926174496646,0.0
1012,None,4.438926174496646,0.0
1013,None,4.438926174496646,0.0
1014,None,4.438926174496646,0.0
1015,None,4.438926174496646,0.0
1016,A,4.438926174496646,2.6633557046979877
1017,None,4.438926174496646,0.0
1018,A,4.438926174496646,2.6633557046979877
1019,None,4.200998613088463,0.0
1020,None,4.438926174496646,0.0
1021,A,4.160110194394124,2.4960661166364746
1022,None,4.438926174496646,0.0
1023,None,4.438926174496646,0.0
1024,B,4.438926174496646,4.438926174496646
1025,None,4.438926174496646,0.0
1026,None,4.438926174496646,0.0
1027,A,4.438926174496646,2.6633557046979877
1028,None,4.438926174496646,0.0
1029,None,4.438926174496646,0.0
1030,None,4.438926174496646,0.0
1031,A,4.438926174496646,2.6633557046979877
1032,A,4.438926174496646,2.6633557046979877
1033,None,4.347719018957894,0.0
1034,None,4.438926174496646,0.0
1035,None,4.438926174496646,0.0
1036,None,4.438926174496646,0.0
1037,A,4.438926174496646,2.6633557046979877
1038,None,4.438926174496646,0.0
1039,None,4.438926174496646,0.0
1040,None,3.5641025641025657,0.0
1041,None,4.438926174496646,0.0
1042,A,4.2505211887243926,2.5503127132346353
1043,A,4.438926174496646,2.6633557046979877
1044,None,4.438926174496646,0.0
1045,A,4.438926174496646,2.6633557046979877
1046,A,4.438926174496646,2.6633557046979877
1047,None,4.438926174496646,0.0
1048,None,4.438926174496646,0.0
1049,None,4.438926174496646,0.0
1050,None,4.062404418277885,0.0
1051,None,4.438926174496646,0.0
1052,A,3.9780145504181093,2.3868087302508654
1053,A,3.8294789136314122,2.2976873481788473
1054,None,4.438926174496646,0.0
1055,None,4.438926174496646,0.0
1056,B,4.438926174496646,4.438926174496646
1057,None,4.438926174496646,0.0
1058,None,4.438926174496646,0.0
1059,A,4.438926174496646,2.6633557046979877
1060,A,4.438926174496646,2.6633557046979877
